漢字,タイプ,読み方,,,,,,,
字,訓読,あざ,字,大字,,,,,
走,音読,そう,走行,競走,滑走,,,,
走,訓読,はし,走る,,,,,,
足,音読,そく,足跡,遠足,補足,,,,
足,訓読,あし,足,足音,素足,,,,
足,訓読,た,足りる,舌足らず,足す,,,,
族,音読,ぞく,一族,家族,民族,,,,
作,音読,さく,作為,著作,豊作,,,,
作,音読,さ,作業,作用,動作,,,,
作,訓読,つく,作る,,,,,,
