漢字,タイプ,読み方,,,,,,,,
関,音読,かん,関節,関係,関する,,,,,
関,訓読,せき,関,関取,関の山,,,,,
関,訓読,かか,関わる,,,,,,,
観,音読,かん,観察,客観,壮観,,,,,
慣,訓読,かん,慣例,慣性,習慣,,,,,
慣,音読,な,慣れる,慣れ,慣らす,,,,,
光,訓読,こう,光線,栄光,観光,,,,,
光,音読,ひか,光る,光り輝く,,,,,,
光,音読,ひかり,光,,,,,,,
規,音読,き,規則,規律,,,,,,
果,音読,か,果実,果断,結果,,,,,
果,訓読,は,果たす,果たして,果てる,果て,,,,
過,音読,か,過度,過失,通過,,,,,
過,訓読,す,過ぎる,昼過ぎ,過ごす,,,,,
過,訓読,あやま,過つ,過ち,,,,,,
害,音読,がい,害悪,被害,損害,,,,,
寒,音読,かん,寒村,厳寒,,,,,,
寒,訓読,さむ,寒い,寒空,,,,,,
好,音読,こう,好意,好敵手,良好,,,,,
好,訓読,この,好む,好み,好ましい,,,,,
好,訓読,す,好く,好き嫌い,,,,,,
号,音読,ごう,号令,号外,番号,,,,,
合,音読,ごう,合同,合計,結合,,,,,
合,音読,がっ,合併,合宿,合点,,,,,
合,音読,かっ,合戦,,,,,,,
合,訓読,あ,合う,合わす,合わせる,問い合わせる,,,,
和,音読,わ,和解,和服,柔和,,,,,
和,音読,お,和尚,,,,,,,
和,訓読,やわ,和らぐ,和らげる,,,,,,
和,訓読,なご,和む,,,,,,,
横,音読,おう,横断,横領,専横,,,,,
横,訓読,よこ,横断,横顔,横たわる,,,,,
候,音読,こう,候補,気候,測候所,,,,,
候,訓読,そうろう,候文,居候,,,,,,
呼,音読,こ,呼吸,呼応,点呼,,,,,
呼,訓読,よ,呼ぶ,呼び声,,,,,,
許,音読,きょ,許可,許諾,特許,,,,,
許,訓読,ゆる,許す,許し,,,,,,
互,音読,ご,互角,互選,相互,,,,,
互,訓読,たが,互い,互いに,互い違い,,,,,
化,音読,か,化石,化学,文化,,,,,
化,音読,け,化粧,,,,,,,
化,訓読,ば,化ける,お化け,化かす,,,,,
回,音読,かい,回答,転回,次回,,,,,
回,音読,え,回向,,,,,,,
回,訓読,まわ,回る,回り,回り道,回す,手回し,,,
絵,音読,かい,絵画,,,,,,,
絵,音読,え,絵本,口絵,,,,,,
婚,音読,こん,婚約,結婚,新婚,,,,,
活,音読,かつ,活動,活力,生活,,,,,
機,音読,き,機械,機会,危機,,,,,
機,訓読,はた,機械,機織り,,,,,,
積,音読,せき,積雪,蓄積,面積,,,,,
積,訓読,つ,積む,積もる,,,,,,
幾,音読,き,幾何学,,,,,,,
幾,訓読,いく,幾つ,幾ら,,,,,,
記,音読,き,記入,記号,伝記,,,,,
記,訓読,しる,記す,,,,,,,
済,音読,さい,返済,救済,,,,,,
済,訓読,す,済む,済ます,,,,,,
寄,音読,き,寄宿,寄贈,寄港,,,,,
寄,訓読,よ,寄る,近寄る,身寄り,寄せる,人寄せ,,,
際,音読,さい,際限,交際,,,,,,
際,訓読,きわ,際,際立つ,,,,,,
加,音読,か,加入,加減,追加,,,,,
加,訓読,くわ,加える,加わる,,,,,,
件,音読,けん,件数,事件,条件,,,,,
降,音読,こう,降雨,降参,下降,,,,,
降,訓読,お,降りる,乗り降り,降ろす,,,,,
降,訓読,ふ,降る,,,,,,,
交,音読,こう,交通,交番,社交,,,,,
交,訓読,まじ,交わる,交わり,交える,,,,,
交,訓読,か,飛び交う,交わす,,,,,,
交,訓読,ま,入り交じる,織り交ぜる,,,,,,
皆,音読,かい,皆無,皆勤,,,,,,
皆,訓読,みな,皆,皆さん,,,,,,
解,音読,かい,解決,解禁,理解,,,,,
解,音読,げ,解脱,,,,,,,
解,訓読,と,解く,解かす,解ける,,,,,
進,音読,しん,進級,進言,前進,,,,,
進,訓読,すす,進む,進み,進める,,,,,
経,音読,けい,経費,経済,経験,,,,,
経,音読,きょう,経文,写経,,,,,,
経,訓読,へ,経る,,,,,,,
精,音読,せい,精米,精密,精力,,,,,
精,音読,しょう,精進,不精,,,,,,
景,音読,けい,景気,風景,光景,,,,,
警,音読,けい,警告,警戒,警察,,,,,
静,音読,せい,静止,静穏,安静,,,,,
静,音読,じょう,静脈,,,,,,,
静,訓読,しず,静かさ,静まる,静める,,,,,
酒,音読,しゅ,酒宴,飲酒,洋酒,,,,,
酒,訓読,さけ,酒宴,酒好き,,,,,,
酒,訓読,さか,酒屋,酒場,酒盛り,,,,,
居,音読,きょ,居住,居室,住居,,,,,
居,訓読,い,居る,芝居,,,,,,
局,音読,きょく,局部,時局,結局,,,,,
具,音読,ぐ,具体的,具備,道具,,,,,
決,音読,けつ,決裂,決意,解決,,,,,
決,訓読,き,決める,決まる,決まり,,,,,
覚,音読,かく,覚悟,知覚,発覚,,,,,
覚,訓読,おぼ,覚える,覚え,,,,,,
覚,訓読,さ,覚ます,覚める,,,,,,
絶,音読,ぜつ,絶妙,断絶,,,,,,
絶,訓読,た,絶える,絶やす,絶つ,,,,,
君,音読,くん,君主,君臨,諸君,,,,,
君,訓読,きみ,君,,,,,,,
科,音読,か,科学,教科,罪科,,,,,
刻,音読,こく,彫刻,時刻,深刻,,,,,
刻,訓読,きざ,刻む,刻み,,,,,,
客,音読,きゃく,客間,客車,乗客,,,,,
客,音読,かく,客死,主客,旅客,,,,,
恐,音読,きょう,恐怖,恐縮,恐慌,,,,,
恐,訓読,おそ,恐れる,恐れ,恐らく,恐ろしい,,,,
苦,音読,く,苦心,苦労,辛苦,,,,,
苦,訓読,くる,苦しい,苦しむ,苦しみ,苦しめる,,,,
