単語,ひらがな,JLPT,種類,グループ,ます形,て形,た形,ない形,条件形,受身動詞,使役動詞,命令形,可能動詞,意向形,禁止形
泳ぐ,およぐ,N5,自動詞,1-う段る除き,泳ぎます,泳いで,泳いだ,泳がない,泳げば,泳がれる,泳がせる,泳げ,,泳ごう,泳ぐな
遊ぶ,あそぶ,N5,自動詞,1-う段る除き,遊びます,遊んで,遊んだ,遊ばない,遊べば,遊ばれる,遊ばせる,遊べ,,遊ぼう,遊ぶな
込む,こむ,N5,自動詞,1-う段る除き,込みます,込んで,込んだ,込まない,込めば,込まれる,込ませる,込め,,込もう,込むな
着く,つくる,N5,自動詞,1-あうお段+る,着きます,着いて,着いた,着かない,着けば,着かれる,着かせる,着け,,着こう,着くな
止まる,とまる,N5,自動詞,1-あうお段+る,止まります,止まって,止まった,止まらない,止まれば,止まられる,止まらせる,止まれ,,止まろう,止まるな
住む,すむ,N5,自動詞,1-う段る除き,住みます,住んで,住んだ,住まない,住めば,住まれる,住ませる,住め,,住もう,住むな
走る,はしる,N5,自動詞,1-特例,走ります,走って,走った,走らない,走れば,走られる,走らせる,走れ,,走ろう,走るな
座る,すわる,N5,自動詞,1-あうお段+る,座ります,座って,座った,座らない,座れば,座られる,座らせる,座れ,,座ろう,座るな
いる,いる,N5,自動詞,2-る,います,いて,いた,いない,いれば,いられる,いさせる,いろ,,いよう,いるな
できる,できる,N5,自動詞,2-る,できます,できて,できた,できない,できれば,できられる,できさせる,できろ,,できよう,できるな
出る,でる,N5,自動詞,2-る,出ます,出て,出た,出ない,出れば,出られる,出させる,出ろ,,出よう,出るな
答える,こたえる,N5,自動詞,2-る,答えます,答えて,答えた,答えない,答えれば,答えられる,答えさせる,答えろ,,答えよう,答えるな
降りる,おりる,N5,自動詞,2-る,降ります,降りて,降りた,降りない,降りれば,降りられる,降りさせる,降りろ,,降りよう,降りるな
居る,いる,N5,自動詞,2-る,居ます,居て,居た,居ない,居れば,居られる,居させる,居ろ,,居よう,居るな
疲れる,つかれる,N5,自動詞,2-る,疲れます,疲れて,疲れた,疲れない,疲れれば,疲れられる,疲れさせる,疲れろ,,疲れよう,疲れるな
起きる,おきる,N5,自動詞,2-る,起きます,起きて,起きた,起きない,起きれば,起きられる,起きさせる,起きろ,,起きよう,起きるな
勤める,つとめる,N5,自動詞,2-る,勤めます,勤めて,勤めた,勤めない,勤めれば,勤められる,勤めさせる,勤めろ,,勤めよう,勤めるな
寝る,ねる,N5,自動詞,2-る,寝ます,寝て,寝た,寝ない,寝れば,寝られる,寝させる,寝ろ,,寝よう,寝るな
晴れる,はれる,N5,自動詞,2-る,晴れます,晴れて,晴れた,晴れない,晴れれば,晴れられる,晴れさせる,晴れろ,,晴れよう,晴れるな
生まれる,うまれる,N5,自動詞,2-る,生まれます,生まれて,生まれた,生まれない,生まれれば,生まれられる,生まれさせる,生まれろ,,生まれよう,生まれるな
消える,きえる,N5,自動詞,2-る,消えます,消えて,消えた,消えない,消えれば,消えられる,消えさせる,消えろ,,消えよう,消えるな
活動,かつどう,N5,自動詞,3-外来語,活動します,活動して,活動した,活動しない,活動すれば,活動される,活動させる,活動しろ,,活動しよう,活動するな
来る,くる,N5,自動詞,3-特例,きます,きて,きた,こない,くれば,こられる,こさせる,こい,,こよう,くるな
外出,がいしゅつ,N5,自動詞,3-外来語,外出します,外出して,外出した,外出しない,外出すれば,外出される,外出させる,外出しろ,,外出しよう,外出するな
